,title,department,location,employment_type,review_star,review_number,salary_value,salary_unit,state,description,annual_salary
10,internship - engineering/data analysis,iestec pty. ltd,saint kilda vic,"internship, volunteer, casual",,,,casual,vic,"this is an excellent opportunity to work with experienced engineers and data analysts for large scale projects.you should have the following skills or experience: programming experience in pythonsql, data exploration tools, or data modeling skillsengineering background preferredjob types: internship, volunteer, casual",
11,data analytics graduate,frankston city council,frankston vic,permanent,3.0,9.0,69580.5,year,vic,"data analytics graduate permanent full time $61,648 to $77,513 per annum plus superannuation (depending on experience)  are you a data whiz? then we want to hear from you!  as part of the human resources team, your role will be to develop workforce reporting metrics and provide data analysis, reporting and systems expertise. about you:  this is an exciting career opportunity for a recent graduate or someone currently studying data analytics. to be successful you will have:  sound knowledge of data analytics  proficient in the use of appropriate computer applications and business intelligence programs.  a passion for data!  about us: to achieve our strategic goals we need a workforce full of energetic and forward thinking people. if you are enthusiastic, with a strong customer focus, then join our team. at frankston city council you will work with great people in a challenging and dynamic environment.  working for frankston council you will have access to:  flexible working conditions including 19 day month  salary packaging opportunities through maxxia  access to ongoing support and career developmental opportunities part time applications may be considered. you will need to provide evidence of your right to work in australia. you must also be willing to provide a pre-employment health declaration and undertake a national police record check.  your career, frankston’s future…",69580.5
12,office admin assistant - part time/ casual,rainshield roofing,hallam vic,"part-time, casual",,,28.0,hour,vic,"rainshield roofing are a leading roofing company located in hallam, victoria.we are currently seeking a casual / part time office administration assistant to join our busy office.flexible hours - up to 25 per week.duties include but are not limited to;answering telephones and emails.assisting the directors and other staff when required.data entry, filing, photo copying and scanning of documents for digital filingordering of stationery and staff amenities.general office duties & housekeepingmust have;excellent computer skills – microsoft excel, word & outlook.xero experience necessary.workflow max - advantage - not essential.great verbal and written communication skillsthe ability to work autonomously and as part of a team.a committed and positive approach to resolving issues and completing tasks.good time management and organizational skillsexcellent attention to detailbe punctual and reliable.*only shortlisted candidates will be contacted*job types: part-time, casualsalary: $28.00 to $32.00 /hourexperience:bookkeeping: 1 year (preferred)xero: 1 year (preferred)language:english (preferred)",56000.0
13,audit & assurance – data analytics - 2020 graduate program (melbourne),deloitte,melbourne vic,,4.0,,,,vic,"top tips for submitting your application if you’re reading this then you must be ready for one of the most important stages you’re likely to experience; submitting your application. we’ve found that those who are well prepared and have conducted plenty of research prior to starting the application process have the best chance of progressing to interviews. before you select “apply online” below, here are our top tips and checklist to guide you in making a successful application. #1 – register on yourfuture.deloitte.com.au do you want to maximise the chances of a successful application? then we cannot recommend enough that you register on your future. this purpose-built website has been designed to be your hub throughout your recruitment experience. you can also find a wide range of other supporting information here, relating to events, life at deloitte, interview preparation advice and much more. #2 – know which program and business unit/operating unit you are best suited to knowing which business unit/operating unit to apply for is critical to your success in securing a position with us. using the your future website, campus events, videos and other information that we’ve published we seek to provide you with enough to educate you on the many business units and operating units within deloitte australia. #3 – applying for a role it is important to note that applying for more than one role will not increase your chances of successfully securing an interview or a position. what is important is that you have conducted thorough research, and can clearly articulate in your application why the business unit/operating unit you are applying to is the right fit for you. additional tip: sometimes we see up to 3 or more applications from the same candidate. often when this occurs we find that the individual has not done enough research, and it is rare that these applications are successful. #4 – providing an email address when registering on your future and when you create your profile to apply for a role, please use an email address that you use often and will be using for the foreseeable future. your email address is one of many ways we will engage and communicate with you, so make sure you check it regularly. #5 – application questions our online application process is designed to collect only the information we really need to consider your eligibility and suitability for our roles. while we suggest you put aside sufficient time to consider your application, rest assured that we won’t be asking you to respond to questions that require long, free text responses. we save those questions for more appropriate parts of the application process. #6 – getting back to you at deloitte australia, we are absolutely committed to getting back to you as soon as we can. whether it is by email or phone, we will let you know if you are unsuccessful or you are progressing to the next step in the process. while we receive over 20,000 applications over the coming months, if you are yet to hear from us, you are still under consideration. your checklist: what to have prepared before selecting ‘apply online’ and commencing your application, be prepared with the following: you have researched the business unit/operating unit you are applying for (yourfuture.deloitte.com.au) be aware of your eligibility for the specific program you are applying for (you can find this on your future) you have updated your resume so that it showcases your experience and skills as it relates to the business unit/operating unit that you wish to apply for. you have your academic transcripts ready to upload you have your proof of right to work in australia (passport or citizenship certificate) ready to be uploaded international students – please have your relevant visa label and evidence of english language proficiency results ready to upload what to expect when you start your application the application process will take you through a number of stages and shouldn’t take more than 15 minutes. these stages will require you to: select the relevant program (vacationer or graduate) for the relevant business unit/operating unit in the city you wish to be based next you will be asked to register a username and password (if you haven’t previously registered) complete the online application form attach your resume, academic transcript, copy of work rights and evidence of english language proficiency results (if you are an international student) finally, answer all the application questions so we can determine your eligibility and suitability for the roleall the best with your application, we’re looking forward to seeing it. the deloitte australia graduate talent acquisition team by applying to this job you will be assessed against the deloitte global talent standards. we\'ve designed these standards to provide our clients and candidates with a consistent & exceptional deloitte experience globally. deloitte touche tohmatsu is the dttl member firm in australia (""deloitte australia""). ""deloitte"" is the brand under which tens of thousands of dedicated professionals in independent firms throughout the world collaborate to provide audit, consulting, financial advisory, risk management, tax and related services to select clients. requisition code: augrad162505",
14,data analyst,,melbourne vic,,,,80000.0,year,vic,"an exciting new opportunity has emerged to work as a data analyst with one of the world’s most recognised premium automotive brands. the role will be embedded within a local agency team, but will also be connected to a dedicated global data science team (based in berlin and india) to deliver work class analysis of customer behaviour and experience. a global data toolset is under development to deliver the following outcomes:behavioural analysis to understand the ownership experiences/behaviours and journeys of our customersdevelopment of a measurement framework to track customer behaviour across that journeyinterpretation of a wide range of datasets including sales/purchase data, ownership behaviour, web analytics, satisfaction surveys and media engagementcollaboration with global data science teams to influence, localise and pilot propensity and marketing attribution modelscollaboration with global data team to provide feedback on the local market applicability of emerging data toolsets and infrastructureadvocation of the global data toolbox to embed data at the heart of all business decisionsroutine reporting to measure the effectiveness of our communications and campaign strategiesroutine reporting of new initiatives to drive uplifts in customer conversion and retentiondevelopment of actionable recommendations to improve key business outcomesad hoc analysis and reporting to answer other key business and product related questionsskills requiredunderstanding and preferably experience working with web analytics dataexperience using python, r or sql to analyse, manipulate and interpret large data setsexperience working with data visualisation tools such as powerbi. the ability to build new dashboards would be favoured, but not mandatory.experience working with salesforce service cloud and marketing cloud would be favoured.experience documenting and sharing findings with non-technical stakeholdersabove all, an inquisitive mind essential - beyond data analysis we’re looking for someone that is curious about human behaviourthe role is seconded to publicis emill by saatchi & saatchi australia, both part of the publicis groupe network of agencies.base salary range\xad from $70,000 to $90,000 annuallyjob type: full-timesalary: $70,000.00 to $90,000.00 /year",80000.0
15,seeking australian-english accent for conversation project (remote),,melbourne vic,"part-time, contract",,,15.0,hour,vic,"seeking speaker of australian english for a written and audio conversation projectwe are seeking speakers of the australian variety of english for an upcoming recording and transcription projectyou will be having short written and audio conversations with other native speakers of australian english. you will be scheduled to meet on an online recording platform with an assigned partner where you will receive instructions with a goal and asked to record or write short conversations to accomplish that particular goal (e.g., order a pizza, cancel a reservation).details: compensation for this work is 15usd/hrall work can be performed remotely and according to your individual availabilitywe will start with this 2-3 week project and can contact you for future projects (as they are available)if you are interested in participating, please fill out this questionnaire https://docs.google.com/forms/d/e/1faipqlsftrog-nbfqjcqrukuflpo2jtryeebpe2x9dir94tclvn7djw/viewform?usp=sf_linklearn more about lausanne’s language & data services.job types: part-time, contractsalary: $15.00 to $20.00 /hourlanguage:australian-english (required)",30000.0
16,data warehouse modeller,ignite,canberra act,contract,,,112.5,hour,act,"we are seeking a data warehouse modeller to work within a small, highly skilled team of data analysts to provide services to a federal government department length of contract to 30 june 2020 contract extensions option to extend for 1 period of up to 12 months security clearance australian citizen with ability to obtain baseline clearance in this role you would: develop data models to meet specified business requirements and which will allow future integration with other reporting systems develop sql scripts for curation of transactional datasets, and follow good programming practices and team programming conventions you should have following skills and experiences  technical excellence, specifically in sql data warehousin sql server analysis services: tabular modelling, dax (desirable) programming languages/automation: python, r (desirable) develop analytics products, including interactive reports and dashboards, to meet business requirements (desirable) support ad hoc analytical and programming tasks as required (desirable) for further information, please quote #352269 and contact surabhi on 02 6113 7513",225000.0
17,data associate,,melbourne vic,permanent,,,54999.5,year,vic,"the companyinflo is an agile, forward-thinking company that leverages the latest technology to revolutionise the world of accounting.inflo abides by a set of core values that informs everything we do:treat inflo as if it was your own businessdo what you say you\'ll docontinually improve yourself and inflocreate a positive, open and honest environmentproactively drive the long-term success of partners and customersbe passionate and celebrate the success of the teaminflo\'s success is built on its people and dependent on everybody working towards our shared objectives and within our cultural values.the teaminflo\'s data team, currently based in the uk, are looking to expand into australia in order to provide support to our clients who are in significantly different time-zones to the uk.we\'re looking for more people with entrepreneurial spirit. if you\'ve got a great idea then we want you to share it. this is your chance to join a team delivering unrivalled service to a profession looking to embrace technology.the challengeinflo are looking for talented individuals to build our market position by providing reliable and effective data transformation services to our clients.you will:be a part of a team of technical automation specialistssupport inflo\'s etl process globallysupport the data automation manager in developing new tools and techniques to improve existing processesyou willthe mix of responsibilities (and your role – associate or manager) will depend on your experience prior to application. however, general responsibilities will include:manual transformation of general ledger & trial balance information from system report formats into the inflo common data modelanalysis of, and extraction from, accounting system backups (primarily ms sql)creation of repeatable report solutions in order to feed our robotic process automation (rpa) when dealing with common/known system reportsliaising with individuals at accounting firms, and their clients, to help extract data form client systems in the most effective manner possibleworking with our uk based development team to continue to develop innovative solutions to the problems presented by dealing with data from numerous and varying accounting systemshelping to build the team in the apac region as our volumes increase over the course of the coming months and yearswhat we offeras a member of the inflo family, you\'ll also enjoy some pretty special benefits including the following to name a few:a competitive salary within a rapidly growing technology companycontinued professional developmentthe opportunity to work with our teams around the globe25 days holiday with an additional 0.5 days for every year of serviceflexible working environmentopportunity to work from homecasual dress codejob types: full-time, permanentsalary: $50,000.00 to $59,999.00 /yearexperience:data analysis: 2 years (preferred)work eligibility:the candidate can work permanently with no restriction on hours (required)",54999.5
18,game analyst,electronic arts,melbourne vic,,3.9,,,,vic,"electronic arts inc. is a leading global interactive entertainment software company. ea delivers games, content and online services for internet-connected consoles, personal computers, mobile phones and tablets. located next to southern cross station modern studio with excellent employee benefits fully stocked kitchen for breakfast, lunch, fresh fruit, and coffee!  the company we are ea! and we make games – how cool is that? in fact, we entertain millions of people across the globe with the most amazing and immersive interactive software in the industry. but making games is hard work. that\'s why we employ the most creative, passionate people in the industry!  the studio electronic arts’ firemonkeys studio in melbourne, australia is highly regarded throughout the industry as a live service mobile game studio. we release new meaningful updates on a regular basis for games such as real racing 3, the sims freeplay, and need for speed.  the role ea seeks a dedicated and skilled analyst to support its mobile studios and games. the analyst will work with and support the ea melbourne studio as well as the wider ea community to help forecast, monitor, report and communicate game performance and player behaviour. the role requires someone who is passionate about data and communicating the story behind that data to a wide range of stakeholders. your responsibilities will include: analyse daily performance data, including sales and in-game telemetry, to identify opportunities and challenges, then create strategies and tactics to drive results. creation and maintenance of static and interactive dashboards, reports and ad-hoc queries. perform regular deep dives to investigate player segments, behaviors, and spending habits. provide reporting and performance monitoring by using data drawn from diverse sources with deep analysis and recommendations on findings. evaluate the impact/success of game events, content updates and marketing campaigns. communicate results of analysis with clarity and impact to key stakeholders. you will have: a university degree in a compatible field (bsc, bcom, ba, masters, etc.), or equivalent industry experience 2-3 years in a previous analytics role excellent data analysis and data visualisation skills excellent practical experience with sql an ability to work collaboratively with, and tell meaningful and actionable stories for partners across a range of development disciplines conscientious, with excellent organizational skills the perks modern studio, located next to southern cross station subsidised health care programme and gym allowance excellent employee benefits, bonuses and share options subsidised games and consoles, with additional games available to take home to play fully stocked kitchen for breakfast, lunch, fresh fruit and hot drinks friday night socials and regular team building outings how to apply to apply, please click the apply now button. to learn more about a career with ea, please visit https://www.ea.com/careers. ea is an equal opportunity employer. all employment decisions are made without regard to race, color, national origin, ancestry, sex, gender, gender identity or expression, sexual orientation, age, genetic information, religion, disability, medical condition, pregnancy, marital status, family status, veteran status, or any other characteristic protected by law. ea also makes workplace accommodations for qualified individuals with disabilities as required by applicable law.",
19,privacy and data protection specialist,pwc,melbourne vic,,4.0,6807.0,85000.0,year,vic,"line of service assurance industry/sector not applicable specialism assurance management level senior associate job description & summary  with pwc, you’ll ignite a meaningful career while being supported by a flexible working culture, innovative learning and development opportunities and progressive policies and benefits, such as 18 weeks paid parental leave for mums, dads and foster carers (no minimum service!) what will you create? you’ll help australian businesses, not-for-profits and governments create value and improve the way they work. from digitising healthcare, to creating smarter cities and igniting our start-up industry, together we build trust in society and solve important problems. risk assurance bring this to life by helping clients to protect and strengthen every aspect of their business; from people to performance, systems to strategy and business plans to business resilience. as a privacy and data protection specialist in our digital trust team your impact will be seen by: helping our clients to build trust within the community by protecting the privacy of individuals (such as customers, members of the public and employees) working with clients to assess, advise, design, and implement capabilities relating to privacy and data protection identifying and managing key risks and compliance issues relating to privacy and data protection. about you you have a background in privacy and data protection and are skilled in designing practical and high quality solutions with reference to local and international laws. you also hold an understanding of risk management, with a keen interest in emerging trends such as data ethics, blockchain, robotics and ai and how to manage these risks. passionate about being at the forefront of change, you’re ready to help our risk assurance team transform how risk is perceived and capitalised on. you’re collaborative and enjoy working in an innovative environment. you’re a problem solver by nature and want to join a firm that values the kind of people who reimagine the possible for their clients and stakeholders. most importantly, you act with integrity and show care for the people you work with. life at pwc our culture and benefits are something we’re proud of, and also the reason we’ve been named linkedin’s #1 australian workplace. with pwc, you’ll belong to an inclusive community where differences are both embraced and the underlying driver in everything we create together. we empower you with the technology, coaching, flexibility and trust needed to make a meaningful difference, while supporting you in bringing your whole self to work each day. we’re committed to building and maintaining a diverse workforce because we know it’s only by working together that we can realise the potential of our people, clients and society around us. we’re living this commitment through initiatives including our reconciliation action plan to increase indigenous employment and employee-led diversity networks promoting cultural, disability, lgbti and gender equality. at our core we’re a people business, which means you’ll be supported not just in your professional development but your personal growth as well. andy hinton is the recruitment manager for the role. as the team experience high volumes of applications, we appreciate your patience to allow for a timely and fair process for all. we welcome the opportunity to speak to candidates about our value proposition and recognition and reward approach. the minimum full time salary for this role is $85,000 including 9.5% superannuation, however will be determined based on the skills and experience that the candidate brings. #li-pwclmt education (if blank, degree and/or field of study not specified) degrees/field of study required: degrees/field of study preferred: certifications (if blank, certifications not specified) desired languages (if blank, desired languages not specified) travel requirements up to 20% available for work visa sponsorship? yes government clearance required? no job posting end date august 26, 2019",85000.0
20,casual laboratory assistants and/or casual data entry clerks,clinpath laboratories,mile end sa,casual,3.4,7.0,,,sa,"about clinpath pathology clinpath pathology is a quality pathology service provider, focusing on professional excellence, reliability, excellent customer service and business integrity. based at mile end in a new state of the art laboratory clinpath provides you with the opportunity to become a part of an australian wide medical testing laboratory network, focused on medical leadership and expert advice. we serve our south australian medical practitioners, private hospitals and aged care facilities. about the opportunity the laboratory support services department operates extended hours over seven days and a variety of day, afternoon, evening, overnight and weekend shifts are available. if working out of hours work appeals due to your family situation, this is a role which would be of interest. participation in weekend and public holiday rosters may be required. suitable candidates may work in both specimen reception and data entry areas. attractive penalty rates payable for out of hours work. key responsibilities of laboratory assistants: receipt, registration, prioritising and sorting of pathology specimens; coding of tests into the laboratory information system (l.i.s.); performance of pre-analytical procedures; and preparation of specimens for dispatch to other laboratories. key responsibilities of data entry clerks: data entry of the request form information into the l.i.s.; and administrative tasks associated with ensuring that accurate data is entered into the l.i.s. ideal qualifications, skills & experience experience in a similar role is essential; applicants for the data entry positions must have atyping speed of at least 55 wpm with 98% accuracy (skills testing will form part of the selection process); willingness to learn the specific laboratory techniques; manual dexterity; customer service experience by telephone; proven exceptional attention to detail and the ability to follow established procedures; comfortable taking responsibility for timely and thorough completion of tasks; and an outstanding work ethic and the ability to work collaboratively within a team environment to achieve and maintain our commitment to service excellence and patient care. why join us? clinpath pathology offer a wide range of employee benefits: employee rewards program ongoing training and development employee assistance program employee referral program free annual flu vaccination charitable and social events including annual christmas party, pizza friday and easter morning tea work life balance and flexible working arrangements how to apply? for further details about the position please contact: kathleen ryke, lss supervisor via e-mail kryke@clinpath.com.aunote - applications are accepted throughout the year and shortlisted for interview as required. applicants will only be contacted if shortlisted for interview. applications close: 31 july 2020 applications close: 31 jul 2020",
21,data entry/administration,aimbig employment,melbourne vic,,5.0,,,,vic,"do you have a disability or mental health condition that is getting in the way of finding suitable employment? we have a great opportunity for a data entry/administration professional in melbourne’s southern area. you will need to be able to work full time, 9am -5pm monday to friday. over the phone customer servicetaking ordersentering orders (data entry)general office duties such as printing and copying",
22,delivery clerk,law in order,melbourne vic,permanent,3.3,3.0,,,vic,"our company law in order is one of the most recognised outsource service providers to law firms and legal teams specialising in legal technology support services. the role with a strong team environment and a collaborative work culture, you will have the full support of your colleagues and management in this vital client facing role. you will be responsible for the safe delivery of documents in and around the melbourne cbd while providing exceptional customer service. more specifically, this role involves: walking (85%) and driving (15%) lifting boxes and pushing trolleys data entry manual handling of documents and parcels ad hoc administration tasks as required this is a full-time permanent role monday - friday, 9:00am-5:30pm. selection criteria while this is an entry level position and no previous experience is necessary, we are looking for self motivated and friendly staff to join the team. you will also be: professional and well presented previous administration experience (preferred but not essential) able to lift a heavy box (15-20kg) a vic driver\'s licence holder (preferred but not essential) in return for your dedication, you will be rewarded with: birthday leave, monthly social events and activities career progression opportunities the right candidate will also embody our core values of leadership, integrity, teamwork and excellence. if you are interested in this role, we want to hear from you. apply now by following the prompts on seek. please include in your application an updated cv. we look forward to reviewing your application!",
